Step,Training Loss,rewards / chosen,rewards / rejected,rewards / accuracies,rewards / margins,logps / rejected,logps / chosen,logits / rejected,logits / chosen
176,1.5674,-0.129994,-0.116467,0.5,-0.013527,-1.164673,-1.299941,9.789219,9.007218
177,1.4754,-0.116802,-0.104609,0.5,-0.012192,-1.046093,-1.168015,9.630885,8.96115
178,1.9656,-0.156777,-0.093954,0.125,-0.062823,-0.939538,-1.56777,9.758167,9.561365
179,1.314,-0.109549,-0.122351,0.625,0.012803,-1.223511,-1.095486,9.722467,9.301661
180,1.0861,-0.085541,-0.10857,1,0.02303,-1.085705,-0.855408,9.751148,9.395528
181,1.2815,-0.096668,-0.104553,0.625,0.007885,-1.045528,-0.966679,9.594109,9.419179
182,1.3061,-0.101902,-0.106895,0.625,0.004994,-1.068953,-1.019016,9.71349,9.393812
183,1.595,-0.136254,-0.106334,0.375,-0.02992,-1.063344,-1.362541,9.869243,9.067071
184,1.058,-0.084545,-0.111475,0.625,0.026929,-1.114749,-0.845455,9.651211,8.86627
185,1.6425,-0.1393,-0.107827,0.25,-0.031472,-1.078272,-1.392995,9.592434,8.905428
186,1.1172,-0.100087,-0.109664,0.75,0.009577,-1.096641,-1.000872,9.667057,9.104223
187,1.9333,-0.156169,-0.100046,0.375,-0.056123,-1.000463,-1.561692,9.959846,9.507635
188,1.4373,-0.127814,-0.109579,0.5,-0.018235,-1.095793,-1.278143,9.823537,9.284039
189,1.405,-0.121628,-0.103371,0.375,-0.018258,-1.033705,-1.216281,9.857986,9.484684
190,1.8803,-0.167618,-0.111531,0.125,-0.056088,-1.115306,-1.676181,9.861881,9.262885
191,1.9156,-0.166164,-0.108141,0.25,-0.058022,-1.081414,-1.661639,9.89798,9.350674
192,1.9486,-0.16314,-0.113392,0.125,-0.049748,-1.133922,-1.631402,9.913104,9.645998
193,1.3703,-0.114398,-0.101288,0.5,-0.013109,-1.012885,-1.14398,9.626938,9.033083
194,1.6812,-0.140145,-0.106359,0.375,-0.033786,-1.06359,-1.401446,9.845446,9.157922
195,1.1338,-0.097896,-0.103678,0.625,0.005782,-1.036779,-0.97896,9.543602,8.520514
196,1.4644,-0.13985,-0.109446,0.25,-0.030404,-1.094457,-1.398497,9.717196,9.007751
197,1.8605,-0.151081,-0.098881,0.25,-0.0522,-0.98881,-1.510813,10.033304,9.188374
198,1.6224,-0.14721,-0.129659,0.5,-0.017551,-1.296595,-1.472104,9.783499,9.456896
199,1.3002,-0.112629,-0.122582,0.625,0.009953,-1.225822,-1.126292,9.663589,9.157744
200,1.7117,-0.159014,-0.124758,0.625,-0.034256,-1.247578,-1.590138,9.758875,9.229809
